id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,foul_committed_advantage,foul_won_advantage,pass_cross,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_deflected,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_shot_assist,shot_saved_to_post,goalkeeper_shot_saved_to_post,goalkeeper_body_part_id,goalkeeper_body_part_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_aerial_won,foul_committed_type_id,foul_committed_type_name,clearance_head,pass_switch,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,clearance_other,50_50_outcome_id,50_50_outcome_name,goalkeeper_end_location,pass_outswinging,ball_recovery_recovery_failure,shot_aerial_won,pass_inswinging,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,dribble_overrun,pass_cut_back,pass_deflected,shot_open_goal,foul_won_defensive,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_straight,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,clearance_aerial_won,timestamp_seconds
c7572574-8df7-418c-b7f7-abf4fc305ea2,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,213,Sevilla,1,Regular Play,213,Sevilla,4231.0,"[{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6356, 'name': 'Michael Krohn-Dehli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
dd7df5b7-7732-4a41-a77d-007ab2a6e770,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,213,Sevilla,1,Regular Play,221,Levante UD,442.0,"[{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 8801, 'name': 'Iván López Mendoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25824, 'name': 'Ángel Trujillo Canorea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 27250, 'name': 'Nabil Ghilas'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
f1fd5daa-a17f-4188-a7eb-e53965001d26,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,213,Sevilla,1,Regular Play,221,Levante UD,,,['f64d7105-38e5-462f-9fcc-a7362452a4e2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
f64d7105-38e5-462f-9fcc-a7362452a4e2,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,213,Sevilla,1,Regular Play,213,Sevilla,,,['f1fd5daa-a17f-4188-a7eb-e53965001d26'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2892982c-26fe-4480-94d2-257f0b3a06d1,5,1,00:00:00.483,0,0,2,0.395148,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['0b430cd0-3400-4b9a-b571-a34fc062dd11'],True,"[60.0, 40.0]",27250.0,Nabil Ghilas,22.0,Right Center Forward,7141.0,Giuseppe Rossi,1.8439089,-1.7894653,1.0,Ground Pass,"[59.6, 38.2]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.483
0b430cd0-3400-4b9a-b571-a34fc062dd11,6,1,00:00:00.878,0,0,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['2892982c-26fe-4480-94d2-257f0b3a06d1'],,"[59.6, 38.2]",7141.0,Giuseppe Rossi,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878
9555c3d4-cb9d-46a9-8666-f487c13a31b0,7,1,00:00:00.878,0,0,2,1.625974,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['b9d6974b-4943-4fc4-bc2b-256acfdd165a'],,"[58.9, 38.7]",7141.0,Giuseppe Rossi,24.0,Left Center Forward,24149.0,José Antonio García Rabasco,13.5,3.1415927,1.0,Ground Pass,"[45.4, 38.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878
b9d6974b-4943-4fc4-bc2b-256acfdd165a,8,1,00:00:02.504,0,2,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['9555c3d4-cb9d-46a9-8666-f487c13a31b0'],,"[45.4, 38.7]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.504
51bd3fdc-6d0f-46f1-abbb-bfa0640d4eec,9,1,00:00:02.504,0,2,2,0.999995,43,Carry,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['b9d6974b-4943-4fc4-bc2b-256acfdd165a', 'f7504d10-fe1e-49c9-9f88-ca183e82cf8b']",,"[45.4, 38.7]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,,,,,,,,,,,,"[45.4, 38.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.504
f7504d10-fe1e-49c9-9f88-ca183e82cf8b,10,1,00:00:03.504,0,3,2,2.275985,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['85992576-8e33-44d1-bbe0-3e9e645b9dac'],,"[45.4, 38.7]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,6784.0,Antonio García Aranda,34.671745,-1.735945,1.0,Ground Pass,"[39.7, 4.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.504
85992576-8e33-44d1-bbe0-3e9e645b9dac,11,1,00:00:05.780,0,5,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['f7504d10-fe1e-49c9-9f88-ca183e82cf8b'],,"[39.7, 4.5]",6784.0,Antonio García Aranda,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78
eb401b01-5449-4de0-ab04-bd9003e90a5e,12,1,00:00:05.780,0,5,2,1.445499,43,Carry,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['13bd7399-b007-4c97-bff6-90e43f248762', '85992576-8e33-44d1-bbe0-3e9e645b9dac', 'fbc3b1c9-204b-4c28-8e06-4eac51160b6c']",,"[39.7, 4.5]",6784.0,Antonio García Aranda,6.0,Left Back,,,,,,,,,,,,"[41.3, 4.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78
13bd7399-b007-4c97-bff6-90e43f248762,13,1,00:00:06.549,0,6,2,0.571303,17,Pressure,221,Levante UD,9,From Kick Off,213,Sevilla,,,['eb401b01-5449-4de0-ab04-bd9003e90a5e'],,"[76.6, 75.3]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.549
3fe41aee-f6e3-415f-86ac-add2196323a3,14,1,00:00:07.226,0,7,2,0.0,39,Dribbled Past,221,Levante UD,9,From Kick Off,213,Sevilla,,,"['6fe8bf08-376c-4dc9-a39e-ee384823f5e8', 'fbc3b1c9-204b-4c28-8e06-4eac51160b6c']",,"[78.8, 75.3]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.226
fbc3b1c9-204b-4c28-8e06-4eac51160b6c,15,1,00:00:07.226,0,7,2,0.0,14,Dribble,221,Levante UD,9,From Kick Off,221,Levante UD,,,['3fe41aee-f6e3-415f-86ac-add2196323a3'],,"[41.3, 4.8]",6784.0,Antonio García Aranda,6.0,Left Back,,,,,,,,,,,,,True,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.226
6fe8bf08-376c-4dc9-a39e-ee384823f5e8,16,1,00:00:07.226,0,7,2,1.081869,43,Carry,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['3fe41aee-f6e3-415f-86ac-add2196323a3', '470b4beb-922e-4fbf-9993-1a747b49af18', 'fbc3b1c9-204b-4c28-8e06-4eac51160b6c']",,"[41.3, 4.8]",6784.0,Antonio García Aranda,6.0,Left Back,,,,,,,,,,,,"[41.7, 12.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.226
470b4beb-922e-4fbf-9993-1a747b49af18,17,1,00:00:08.308,0,8,2,2.260766,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['49891829-811b-4578-857f-e115cd9e25a4'],,"[41.7, 12.7]",6784.0,Antonio García Aranda,6.0,Left Back,6647.0,Zouhair Feddal,16.807438,2.7765546,1.0,Ground Pass,"[26.0, 18.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.308
49891829-811b-4578-857f-e115cd9e25a4,18,1,00:00:10.568,0,10,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['470b4beb-922e-4fbf-9993-1a747b49af18'],,"[26.0, 18.7]",6647.0,Zouhair Feddal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.568
7c5c6b89-c23d-4e27-ac8e-e7dd69c2331f,19,1,00:00:10.568,0,10,2,1.439995,43,Carry,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['1dc1d4f3-9670-4dd7-a9e4-e289c28b7d7b', '49891829-811b-4578-857f-e115cd9e25a4']",,"[26.0, 18.7]",6647.0,Zouhair Feddal,5.0,Left Center Back,,,,,,,,,,,,"[26.0, 18.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.568
1dc1d4f3-9670-4dd7-a9e4-e289c28b7d7b,20,1,00:00:12.008,0,12,2,2.694827,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['331550cb-25d8-4f1f-be78-cd9192d6b3ab'],,"[26.0, 18.7]",6647.0,Zouhair Feddal,5.0,Left Center Back,25824.0,Ángel Trujillo Canorea,32.828342,1.8771338,1.0,Ground Pass,"[16.1, 50.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.008
331550cb-25d8-4f1f-be78-cd9192d6b3ab,21,1,00:00:14.703,0,14,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['1dc1d4f3-9670-4dd7-a9e4-e289c28b7d7b'],,"[16.1, 50.0]",25824.0,Ángel Trujillo Canorea,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.703
8f395d1a-0d8b-4680-9c40-d4f956185dc1,22,1,00:00:14.703,0,14,2,1.599664,43,Carry,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['331550cb-25d8-4f1f-be78-cd9192d6b3ab', '41012a44-0913-48a7-8fbe-6038b2e53e87']",,"[16.1, 50.0]",25824.0,Ángel Trujillo Canorea,3.0,Right Center Back,,,,,,,,,,,,"[17.7, 45.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.703
41012a44-0913-48a7-8fbe-6038b2e53e87,23,1,00:00:16.303,0,16,2,2.345154,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['317d949a-5f8c-4d9a-b838-8097e312d94b'],,"[17.7, 45.9]",25824.0,Ángel Trujillo Canorea,3.0,Right Center Back,6647.0,Zouhair Feddal,28.202837,-1.5566128,1.0,Ground Pass,"[18.1, 17.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.303
317d949a-5f8c-4d9a-b838-8097e312d94b,24,1,00:00:18.648,0,18,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['41012a44-0913-48a7-8fbe-6038b2e53e87'],,"[18.1, 17.7]",6647.0,Zouhair Feddal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.648
00ad5e23-9c76-4fad-a559-536fd4e6f1a5,25,1,00:00:18.648,0,18,2,2.689912,43,Carry,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['317d949a-5f8c-4d9a-b838-8097e312d94b', 'dd882f54-50c6-45ab-8f28-aa584f234d9b']",,"[18.1, 17.7]",6647.0,Zouhair Feddal,5.0,Left Center Back,,,,,,,,,,,,"[25.2, 8.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.648
dd882f54-50c6-45ab-8f28-aa584f234d9b,26,1,00:00:21.338,0,21,2,1.698538,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['352cdec8-d4f3-4cbb-8f0a-0b9f9fa608c8', 'd392821a-a74a-41ca-b5f1-142c62394879']",,"[25.2, 8.4]",6647.0,Zouhair Feddal,5.0,Left Center Back,6668.0,José Luis Morales Nogales,37.336308,-0.13432144,3.0,High Pass,"[62.2, 3.4]",38.0,Left Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.338
d392821a-a74a-41ca-b5f1-142c62394879,27,1,00:00:23.036,0,23,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['dd882f54-50c6-45ab-8f28-aa584f234d9b'],,"[64.3, 2.9]",6668.0,José Luis Morales Nogales,16.0,Left Midfield,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.036
352cdec8-d4f3-4cbb-8f0a-0b9f9fa608c8,28,1,00:00:23.036,0,23,2,0.0,10,Interception,221,Levante UD,9,From Kick Off,213,Sevilla,,,['dd882f54-50c6-45ab-8f28-aa584f234d9b'],,"[57.9, 76.7]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,,,,,,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.036
64e24ac8-6bab-4dac-9447-1bbc2d9343ca,29,1,00:00:24.641,0,24,2,1.516584,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['0abf3f46-8e3f-4e0d-871d-6c65ece40f15', '54efd826-f3e6-4f68-be46-e9158ec07795']",,"[56.5, 4.5]",6784.0,Antonio García Aranda,6.0,Left Back,7141.0,Giuseppe Rossi,17.584652,0.23532379,3.0,High Pass,"[73.6, 8.6]",37.0,Head,66.0,Recovery,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.641
54efd826-f3e6-4f68-be46-e9158ec07795,30,1,00:00:26.158,0,26,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['64e24ac8-6bab-4dac-9447-1bbc2d9343ca'],,"[74.1, 11.5]",7141.0,Giuseppe Rossi,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.158
0abf3f46-8e3f-4e0d-871d-6c65ece40f15,31,1,00:00:26.158,0,26,3,0.0,2,Ball Recovery,213,Sevilla,1,Regular Play,213,Sevilla,,,['64e24ac8-6bab-4dac-9447-1bbc2d9343ca'],,"[46.5, 71.5]",3253.0,Adil Rami,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.158
e62c3b27-af5a-4b52-9251-4a87c9e4fc05,32,1,00:00:26.158,0,26,3,0.734653,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['0abf3f46-8e3f-4e0d-871d-6c65ece40f15', '5c4f31ba-73be-489c-9466-6fff17270345']",,"[46.5, 71.5]",3253.0,Adil Rami,3.0,Right Center Back,,,,,,,,,,,,"[46.3, 71.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.158
5c4f31ba-73be-489c-9466-6fff17270345,33,1,00:00:26.892,0,26,3,4.110346,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['51a351a9-9e4a-4f23-b39d-13938a716c60'],,"[46.3, 71.5]",3253.0,Adil Rami,3.0,Right Center Back,3497.0,Vicente Iborra De La Fuente,29.740545,-0.17233485,3.0,High Pass,"[75.6, 66.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.892
12bb6f11-8dc3-420a-ae76-362051a293d2,34,1,00:00:29.814,0,29,3,1.184036,17,Pressure,213,Sevilla,1,Regular Play,221,Levante UD,,,"['1135afcc-2e0b-48bc-a9ca-26167ddd0bd7', '51a351a9-9e4a-4f23-b39d-13938a716c60']",,"[44.5, 14.9]",6647.0,Zouhair Feddal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.814
51a351a9-9e4a-4f23-b39d-13938a716c60,35,1,00:00:30.998,0,30,3,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,"['12bb6f11-8dc3-420a-ae76-362051a293d2', '5c4f31ba-73be-489c-9466-6fff17270345']",,"[75.6, 66.4]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.998
fe9341a2-8502-4e68-9572-1f6362534d54,36,1,00:00:30.998,0,30,3,0.0,22,Foul Committed,213,Sevilla,1,Regular Play,221,Levante UD,,,['1135afcc-2e0b-48bc-a9ca-26167ddd0bd7'],,"[43.3, 12.7]",6647.0,Zouhair Feddal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.998
1135afcc-2e0b-48bc-a9ca-26167ddd0bd7,37,1,00:00:30.998,0,30,3,0.0,21,Foul Won,213,Sevilla,1,Regular Play,213,Sevilla,,,"['12bb6f11-8dc3-420a-ae76-362051a293d2', 'fe9341a2-8502-4e68-9572-1f6362534d54']",,"[76.8, 67.4]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.998
452a676d-90c3-4041-bad8-364c9164eb42,38,1,00:00:31.003,0,31,3,1.2507,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['d4299810-19d9-4f8c-9c6d-09130c99ab9b'],True,"[76.8, 67.4]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,6356.0,Michael Krohn-Dehli,9.1,-1.5707964,2.0,Low Pass,"[76.8, 58.3]",37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.003
d4299810-19d9-4f8c-9c6d-09130c99ab9b,39,1,00:00:32.253,0,32,3,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['452a676d-90c3-4041-bad8-364c9164eb42'],,"[76.8, 58.3]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.253
4b38aaae-1edf-4f72-9df3-e0e9f5f0f309,40,1,00:00:33.144,0,33,3,1.743826,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,"['69b5f4cc-bcb1-429b-af75-7cb8144a16a4', '6d1c7b8d-767e-41fc-b4e5-ac64abaf29a6']",,"[75.0, 57.8]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,6401.0,Kevin Gameiro,22.656567,0.07067853,3.0,High Pass,"[97.6, 59.4]",40.0,Right Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.144
