id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,foul_won_defensive,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,off_camera,dribble_outcome_id,dribble_outcome_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,ball_recovery_recovery_failure,pass_aerial_won,pass_deflected,foul_committed_advantage,foul_won_advantage,clearance_right_foot,pass_cross,pass_cut_back,pass_switch,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_aerial_won,pass_inswinging,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed_card_id,foul_committed_card_name,clearance_left_foot,miscontrol_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_type_id,foul_committed_type_name,50_50_outcome_id,50_50_outcome_name,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,dribble_overrun,block_offensive,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
d3f74209-5bdc-4c6b-9c49-c644f887cf62,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,210,Real Sociedad,1,Regular Play,210,Real Sociedad,4231.0,"[{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.44404274731834625
d3200889-f8eb-4e44-9362-bb57b708cfd9,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,210,Real Sociedad,1,Regular Play,1041,Sporting Gijón,442.0,"[{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.482600400720013
08e2a0f1-06d2-4191-a549-983355c65604,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['67663a15-94e2-4b7d-a98c-9bdbacb79457'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.24825020365882133
67663a15-94e2-4b7d-a98c-9bdbacb79457,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,210,Real Sociedad,1,Regular Play,1041,Sporting Gijón,,,['08e2a0f1-06d2-4191-a549-983355c65604'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.4360486410308596
0fe7b449-d405-4453-9d9b-37b0de0d9520,5,1,00:00:00.854,0,0,2,0.484869,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['9cf84ce2-54b0-4a32-bfb2-1bf42b16bec4'],"[60.0, 40.0]",6602.0,Miguel Ángel Guerrero Martín,22.0,Right Center Forward,23848.0,Carlos Carmona Bonet,0.9,1.5707964,1.0,Ground Pass,"[60.0, 40.9]",65.0,Kick Off,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.854,0.854,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.778828421001447
9cf84ce2-54b0-4a32-bfb2-1bf42b16bec4,6,1,00:00:01.339,0,1,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['0fe7b449-d405-4453-9d9b-37b0de0d9520'],"[60.0, 40.9]",23848.0,Carlos Carmona Bonet,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.339,0.485,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2914070729311026
b397e099-017c-41ff-b561-48fb56023d2d,7,1,00:00:01.339,0,1,2,0.386044,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['5eddcec9-a4ae-42bc-96ee-48b712b8d65c', '9cf84ce2-54b0-4a32-bfb2-1bf42b16bec4']","[60.0, 40.9]",23848.0,Carlos Carmona Bonet,12.0,Right Midfield,,,,,,,,,,,,"[60.0, 40.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.339,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07770122763836018
5eddcec9-a4ae-42bc-96ee-48b712b8d65c,8,1,00:00:01.725,0,1,2,1.359623,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['6ae8a217-f02f-4f0b-9be5-3776f21e6111'],"[60.0, 40.2]",23848.0,Carlos Carmona Bonet,12.0,Right Midfield,13107.0,Sergio Álvarez Díaz,15.7,3.1415927,1.0,Ground Pass,"[44.3, 40.2]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725,0.3860000000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5341293383634524
6ae8a217-f02f-4f0b-9be5-3776f21e6111,9,1,00:00:03.085,0,3,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['5eddcec9-a4ae-42bc-96ee-48b712b8d65c'],"[44.3, 40.2]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.085,1.3599999999999999,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6546532542735931
9caa4a1f-f3f1-4f53-8f19-4b3040af72d9,10,1,00:00:03.085,0,3,2,1.221239,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['35edf81c-3ac4-4bc3-bc8a-51505419eb8e', '6ae8a217-f02f-4f0b-9be5-3776f21e6111', '878fef3a-118d-4228-adb7-58f1411643ca']","[44.3, 40.2]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,"[46.9, 41.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.085,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7727531152772986
878fef3a-118d-4228-adb7-58f1411643ca,11,1,00:00:03.290,0,3,2,1.095635,17,Pressure,1041,Sporting Gijón,9,From Kick Off,210,Real Sociedad,,,"['35edf81c-3ac4-4bc3-bc8a-51505419eb8e', '9caa4a1f-f3f1-4f53-8f19-4b3040af72d9']","[74.1, 45.9]",6690.0,Xabier Prieto Argarate,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,0.20500000000000007,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9093581447099943
35edf81c-3ac4-4bc3-bc8a-51505419eb8e,12,1,00:00:04.306,0,4,2,1.999664,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['77cd0584-a056-4698-b58c-82cb583c47d0', '878fef3a-118d-4228-adb7-58f1411643ca', 'ba9f7850-f01c-4e2d-ac9e-4db187137e6a']","[46.9, 41.8]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,6880.0,Arnaldo Antonio Sanabria Ayala,48.48464,-0.6005877,3.0,High Pass,"[86.9, 14.4]",,,40.0,Right Foot,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.306,1.016,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.26105645465520255
77cd0584-a056-4698-b58c-82cb583c47d0,13,1,00:00:06.306,0,6,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['35edf81c-3ac4-4bc3-bc8a-51505419eb8e'],"[87.2, 9.3]",6880.0,Arnaldo Antonio Sanabria Ayala,24.0,Left Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.306,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08349750346971263
ba9f7850-f01c-4e2d-ac9e-4db187137e6a,14,1,00:00:06.306,0,6,3,1.81967,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['35edf81c-3ac4-4bc3-bc8a-51505419eb8e', 'a1baf3ef-9ebe-4385-93fb-cde0e3cf4311']","[33.2, 65.7]",6679.0,Aritz Elustondo Irribaria,2.0,Right Back,5560.0,Carlos Alberto Vela Garrido,24.047037,0.21370733,2.0,Low Pass,"[56.7, 70.8]",66.0,Recovery,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.306,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8849744400085113
a1baf3ef-9ebe-4385-93fb-cde0e3cf4311,15,1,00:00:08.125,0,8,3,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['ba9f7850-f01c-4e2d-ac9e-4db187137e6a'],"[56.7, 70.8]",5560.0,Carlos Alberto Vela Garrido,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.125,1.819,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8164723428090985
575ce2ac-91b6-4ecd-836e-2dced859150c,16,1,00:00:08.125,0,8,3,2.237477,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['8fbf482e-c6f0-4ad5-a464-027b0433e081', 'a1baf3ef-9ebe-4385-93fb-cde0e3cf4311', 'b5fe43b1-bef8-4cde-8d06-2b6b7d211d6a']","[56.7, 70.8]",5560.0,Carlos Alberto Vela Garrido,19.0,Center Attacking Midfield,,,,,,,,,,,,"[49.5, 70.2]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.125,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5615310095367166
b5fe43b1-bef8-4cde-8d06-2b6b7d211d6a,17,1,00:00:08.933,0,8,3,1.111218,17,Pressure,210,Real Sociedad,1,Regular Play,1041,Sporting Gijón,,,['575ce2ac-91b6-4ecd-836e-2dced859150c'],"[63.9, 10.6]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.933,0.8079999999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2885642402662748
8fbf482e-c6f0-4ad5-a464-027b0433e081,18,1,00:00:10.363,0,10,3,0.526716,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['20c58652-3b27-42c2-b460-e385abcc5970'],"[49.5, 70.2]",5560.0,Carlos Alberto Vela Garrido,19.0,Center Attacking Midfield,6899.0,Rubén Pardo Gutiérrez,8.509406,-1.5237722,1.0,Ground Pass,"[49.9, 61.7]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.363,1.4299999999999997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.44200605114660285
20c58652-3b27-42c2-b460-e385abcc5970,19,1,00:00:10.890,0,10,3,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['8fbf482e-c6f0-4ad5-a464-027b0433e081'],"[49.9, 61.7]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89,0.527000000000001,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7463800217288179
7fa019b8-3cf8-4725-a08b-9dae09c15af6,20,1,00:00:10.890,0,10,3,0.009049001,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['20c58652-3b27-42c2-b460-e385abcc5970', '51a3bfc4-4330-40f7-81b3-943df0955143']","[49.9, 61.7]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,"[49.9, 61.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9842428722466631
51a3bfc4-4330-40f7-81b3-943df0955143,21,1,00:00:10.899,0,10,3,3.408585,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,,"[49.9, 61.7]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,,,30.022158,0.65549254,3.0,High Pass,"[73.7, 80.0]",,,40.0,Right Foot,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.899,0.008999999999998565,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.347387395787775
773f630e-a427-4b0e-a5f7-9ccc576c6c37,22,1,00:00:17.976,0,17,4,1.565568,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['59967297-2b87-4618-808f-3d84ce4c095c'],"[50.9, 0.1]",24263.0,Ismael López Blanco,6.0,Left Back,6573.0,Bernardo José Espinosa Zúñiga,18.744865,2.6039178,3.0,High Pass,"[34.8, 9.7]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.976,7.077,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6014950169224004
59967297-2b87-4618-808f-3d84ce4c095c,23,1,00:00:19.541,0,19,4,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['773f630e-a427-4b0e-a5f7-9ccc576c6c37'],"[34.8, 9.7]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.541,1.5650000000000013,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7152693358546123
5e5f0678-1227-4d40-b63f-b6e52bed4692,24,1,00:00:19.541,0,19,4,1.29908,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['59967297-2b87-4618-808f-3d84ce4c095c', '745e0706-5b1e-4ff4-987b-f9a8383fe80f']","[34.8, 9.7]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,,,,,,,,,,,,"[36.7, 9.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.541,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09034079105010007
745e0706-5b1e-4ff4-987b-f9a8383fe80f,25,1,00:00:20.840,0,20,4,2.899397,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['203fcce6-ce9f-4be1-863f-0522d2165a62'],"[36.7, 9.0]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,6880.0,Arnaldo Antonio Sanabria Ayala,53.018486,0.2477234,3.0,High Pass,"[88.1, 22.0]",,,38.0,Left Foot,,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.84,1.2989999999999995,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.22531952420185064
203fcce6-ce9f-4be1-863f-0522d2165a62,26,1,00:00:23.740,0,23,4,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['745e0706-5b1e-4ff4-987b-f9a8383fe80f'],"[88.1, 22.0]",6880.0,Arnaldo Antonio Sanabria Ayala,24.0,Left Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.74,2.8999999999999986,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8546797275804191
a24b914e-877d-423e-9691-afca29a4bb54,27,1,00:00:44.583,0,44,5,2.69347,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['cefc4a15-421a-4209-aff8-4a13cd469c6a'],"[31.6, 56.9]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,6690.0,Xabier Prieto Argarate,49.762836,0.05025945,3.0,High Pass,"[81.3, 59.4]",62.0,Free Kick,40.0,Right Foot,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.583,20.843,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.578530286860374
cefc4a15-421a-4209-aff8-4a13cd469c6a,28,1,00:00:47.277,0,47,5,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['a24b914e-877d-423e-9691-afca29a4bb54'],"[79.9, 58.1]",6690.0,Xabier Prieto Argarate,17.0,Right Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.277,2.6940000000000026,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06237903000320599
b36d18db-8ead-4cc1-8dca-df04e851bcc1,29,1,00:00:47.355,0,47,5,0.0,22,Foul Committed,210,Real Sociedad,3,From Free Kick,1041,Sporting Gijón,,,['5dcd43b6-a8f2-4429-a746-9f7383cb39d9'],"[40.2, 20.5]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.355,0.07799999999999585,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.48616480701942466
5dcd43b6-a8f2-4429-a746-9f7383cb39d9,30,1,00:00:47.355,0,47,5,0.0,21,Foul Won,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['b36d18db-8ead-4cc1-8dca-df04e851bcc1'],"[79.9, 59.6]",6690.0,Xabier Prieto Argarate,17.0,Right Wing,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.355,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8570986654586225
c98b5491-86fe-45c2-b774-0cd197908db7,31,1,00:01:26.698,1,26,6,2.528278,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['53c2b352-c40c-4622-900d-b935c5a96c49', '6af6b7f7-e7db-4a0c-94ec-bf3a27181270']","[82.1, 59.0]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,5560.0,Carlos Alberto Vela Garrido,30.519667,0.08858336,1.0,Ground Pass,"[112.5, 61.7]",62.0,Free Kick,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.69800000000001,39.34300000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.618356670284127
