id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,foul_committed_advantage,foul_won_advantage,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_no_touch,pass_aerial_won,out,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,foul_won_defensive,off_camera,pass_switch,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,dribble_nutmeg,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,ball_recovery_recovery_failure,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,pass_inswinging,clearance_left_foot,foul_committed_type_id,foul_committed_type_name,dribble_no_touch,pass_cut_back,shot_one_on_one,clearance_other,clearance_right_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,dribble_overrun,pass_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
402bf8f1-5d93-4ca5-bf53-ed719f8e0154,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,213,Sevilla,1,Regular Play,213,Sevilla,4231.0,"[{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6356, 'name': 'Michael Krohn-Dehli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3486, 'name': 'Fernando Llorente Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7961529376693309
0a1f9d2c-f41e-42c2-8347-81df192774d4,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,213,Sevilla,1,Regular Play,322,Eibar,442.0,"[{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 24508, 'name': 'Manuel Castellano Castro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 27239, 'name': 'Aleksandar Pantić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 24453, 'name': 'Josip Radošević'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 5}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5971764587447543
220a4d63-65bb-4e2f-880b-97778663fe90,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,213,Sevilla,1,Regular Play,322,Eibar,,,['8e903127-0924-4d59-b84c-19a107fa9d20'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.5728823260436292
8e903127-0924-4d59-b84c-19a107fa9d20,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,213,Sevilla,1,Regular Play,213,Sevilla,,,['220a4d63-65bb-4e2f-880b-97778663fe90'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.09397680629145122
7a39c539-b092-4e7e-8bf6-48f97f98e2bf,5,1,00:00:00.563,0,0,2,0.449066,30,Pass,322,Eibar,9,From Kick Off,322,Eibar,,,['f872d18a-f233-452b-9631-bcf66ffb5200'],"[60.0, 40.0]",6700.0,Sergio Enrich Ametller,24.0,Left Center Forward,6566.0,Borja González Tomás,0.8062258,2.6224465,1.0,Ground Pass,"[59.3, 40.4]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563,0.563,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7035128881127356
f872d18a-f233-452b-9631-bcf66ffb5200,6,1,00:00:01.012,0,1,2,,42,Ball Receipt*,322,Eibar,9,From Kick Off,322,Eibar,,,['7a39c539-b092-4e7e-8bf6-48f97f98e2bf'],"[59.3, 40.4]",6566.0,Borja González Tomás,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.012,0.44900000000000007,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9121692380255204
8aff3b3e-0c75-4e5b-9d9e-4768a3e8a877,7,1,00:00:01.012,0,1,2,1.109871,30,Pass,322,Eibar,9,From Kick Off,322,Eibar,,,['4ab877fe-cc95-479c-9208-4c09a0eb0377'],"[58.9, 39.9]",6566.0,Borja González Tomás,22.0,Right Center Forward,6775.0,Daniel García Carrillo,13.735355,-2.6486375,1.0,Ground Pass,"[46.8, 33.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.012,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9199772001184731
4ab877fe-cc95-479c-9208-4c09a0eb0377,8,1,00:00:02.122,0,2,2,,42,Ball Receipt*,322,Eibar,9,From Kick Off,322,Eibar,,,['8aff3b3e-0c75-4e5b-9d9e-4768a3e8a877'],"[46.8, 33.4]",6775.0,Daniel García Carrillo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.122,1.1099999999999999,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13808370043273277
88d0c3e6-4c36-4a18-9ddd-9ffa0570ec4d,9,1,00:00:02.122,0,2,2,0.842061,43,Carry,322,Eibar,9,From Kick Off,322,Eibar,,,"['4ab877fe-cc95-479c-9208-4c09a0eb0377', 'beb9ca78-8575-4b7c-898b-4abd578fc5df']","[46.8, 33.4]",6775.0,Daniel García Carrillo,9.0,Right Defensive Midfield,,,,,,,,,,,,"[46.8, 33.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.122,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5506134459608728
beb9ca78-8575-4b7c-898b-4abd578fc5df,10,1,00:00:02.964,0,2,2,1.289274,30,Pass,322,Eibar,9,From Kick Off,322,Eibar,,,['0340361f-7332-4b9e-a732-e2ab79b601f2'],"[46.8, 33.4]",6775.0,Daniel García Carrillo,9.0,Right Defensive Midfield,6776.0,David Juncà Reñé,26.208395,-1.849096,1.0,Ground Pass,"[39.6, 8.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.964,0.8420000000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.3332713544066447
0340361f-7332-4b9e-a732-e2ab79b601f2,11,1,00:00:04.253,0,4,2,,42,Ball Receipt*,322,Eibar,9,From Kick Off,322,Eibar,,,['beb9ca78-8575-4b7c-898b-4abd578fc5df'],"[39.6, 8.2]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.253,1.2890000000000001,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.29767073729361704
ef2c6186-fe53-408c-91ff-b4c4a5e17bed,12,1,00:00:04.253,0,4,2,1.286173,43,Carry,322,Eibar,9,From Kick Off,322,Eibar,,,"['0340361f-7332-4b9e-a732-e2ab79b601f2', '08550c56-9353-4f84-95a0-d8f941057700', '70f72fde-003e-4046-9189-241d5f0013c4']","[39.6, 8.2]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,"[41.8, 7.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.253,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9522483861412955
08550c56-9353-4f84-95a0-d8f941057700,13,1,00:00:04.717,0,4,2,0.95235,17,Pressure,322,Eibar,9,From Kick Off,213,Sevilla,,,"['4a95de4f-2c32-4d54-a34e-c3ff9fd5e897', '70f72fde-003e-4046-9189-241d5f0013c4', 'ef2c6186-fe53-408c-91ff-b4c4a5e17bed']","[75.2, 73.3]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.717,0.4639999999999995,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0024329991651173
e0e5a348-306d-4829-b0a7-40da357191be,14,1,00:00:05.539,0,5,2,0.0,39,Dribbled Past,322,Eibar,9,From Kick Off,213,Sevilla,,,"['4a95de4f-2c32-4d54-a34e-c3ff9fd5e897', '70f72fde-003e-4046-9189-241d5f0013c4']","[78.3, 73.0]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.539,0.8220000000000001,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30522805001498143
70f72fde-003e-4046-9189-241d5f0013c4,15,1,00:00:05.539,0,5,2,0.0,14,Dribble,322,Eibar,9,From Kick Off,322,Eibar,,,"['08550c56-9353-4f84-95a0-d8f941057700', 'e0e5a348-306d-4829-b0a7-40da357191be']","[41.8, 7.1]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,True,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.539,0.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05348605135556228
4a95de4f-2c32-4d54-a34e-c3ff9fd5e897,16,1,00:00:05.539,0,5,2,0.956517,43,Carry,322,Eibar,9,From Kick Off,322,Eibar,,,"['08550c56-9353-4f84-95a0-d8f941057700', '70f72fde-003e-4046-9189-241d5f0013c4', 'de27d5b5-0998-43e9-b664-18ea8d804501', 'e0e5a348-306d-4829-b0a7-40da357191be']","[41.8, 7.1]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,"[43.2, 10.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.539,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4482890797783059
de27d5b5-0998-43e9-b664-18ea8d804501,17,1,00:00:06.496,0,6,2,1.857984,30,Pass,322,Eibar,9,From Kick Off,322,Eibar,,,['c5cd4175-417c-4a08-b876-79b141e12ebd'],"[43.2, 10.7]",6776.0,David Juncà Reñé,6.0,Left Back,27239.0,Aleksandar Pantić,29.0878,2.100603,1.0,Ground Pass,"[28.5, 35.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.496,0.9570000000000007,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5996842146707089
c5cd4175-417c-4a08-b876-79b141e12ebd,18,1,00:00:08.354,0,8,2,,42,Ball Receipt*,322,Eibar,9,From Kick Off,322,Eibar,,,['de27d5b5-0998-43e9-b664-18ea8d804501'],"[28.5, 35.8]",27239.0,Aleksandar Pantić,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.354,1.8579999999999988,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08400467010843404
27338793-b971-4ebb-af68-0f0571ab55b2,19,1,00:00:08.354,0,8,2,1.15395,43,Carry,322,Eibar,9,From Kick Off,322,Eibar,,,"['20279f76-4177-4c24-a38a-9a82426a20da', 'c5cd4175-417c-4a08-b876-79b141e12ebd']","[28.5, 35.8]",27239.0,Aleksandar Pantić,3.0,Right Center Back,,,,,,,,,,,,"[24.9, 42.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.354,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.056139606045447654
20279f76-4177-4c24-a38a-9a82426a20da,20,1,00:00:09.508,0,9,2,2.171785,30,Pass,322,Eibar,9,From Kick Off,322,Eibar,,,['611da4cc-9eda-4265-a0ef-b883c090a089'],"[24.9, 42.6]",27239.0,Aleksandar Pantić,3.0,Right Center Back,24508.0,Manuel Castellano Castro,34.740322,1.302777,1.0,Ground Pass,"[34.1, 76.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.508,1.154,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.749094804158966
611da4cc-9eda-4265-a0ef-b883c090a089,21,1,00:00:11.680,0,11,2,,42,Ball Receipt*,322,Eibar,9,From Kick Off,322,Eibar,,,['20279f76-4177-4c24-a38a-9a82426a20da'],"[34.1, 76.1]",24508.0,Manuel Castellano Castro,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68,2.1720000000000006,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6998166970269888
54454124-f237-4bd2-b089-a079cb763020,22,1,00:00:11.680,0,11,2,0.686741,43,Carry,322,Eibar,9,From Kick Off,322,Eibar,,,"['4f26c743-7c48-4bae-a0a4-a98bb768b41f', '611da4cc-9eda-4265-a0ef-b883c090a089']","[34.1, 76.1]",24508.0,Manuel Castellano Castro,2.0,Right Back,,,,,,,,,,,,"[37.7, 76.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8651692090903433
4f26c743-7c48-4bae-a0a4-a98bb768b41f,23,1,00:00:12.366,0,12,2,1.168154,30,Pass,322,Eibar,9,From Kick Off,322,Eibar,,,['1ffb30af-0335-4748-aff8-42e89b169485'],"[37.7, 76.1]",24508.0,Manuel Castellano Castro,2.0,Right Back,6712.0,Gonzalo Escalante,20.407106,-0.14259006,1.0,Ground Pass,"[57.9, 73.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.366,0.6859999999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8597132984849054
5960b852-ddbd-4fa3-95ac-42e5e05fe3ab,24,1,00:00:13.384,0,13,2,1.157975,17,Pressure,322,Eibar,9,From Kick Off,213,Sevilla,,,"['1ffb30af-0335-4748-aff8-42e89b169485', 'ede89947-54bd-4b36-bf25-25a7093ef417']","[62.5, 8.7]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.384,1.0180000000000007,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.28358756871372837
1ffb30af-0335-4748-aff8-42e89b169485,25,1,00:00:13.535,0,13,2,,42,Ball Receipt*,322,Eibar,9,From Kick Off,322,Eibar,,,"['4f26c743-7c48-4bae-a0a4-a98bb768b41f', '5960b852-ddbd-4fa3-95ac-42e5e05fe3ab']","[57.9, 73.2]",6712.0,Gonzalo Escalante,12.0,Right Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.535,0.1509999999999998,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8782851554065904
ede89947-54bd-4b36-bf25-25a7093ef417,26,1,00:00:13.535,0,13,2,0.0,38,Miscontrol,322,Eibar,9,From Kick Off,322,Eibar,,,['5960b852-ddbd-4fa3-95ac-42e5e05fe3ab'],"[57.0, 74.9]",6712.0,Gonzalo Escalante,12.0,Right Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.535,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.45414078960966797
8b67b202-43f8-4847-8e5e-d5d0ca045144,27,1,00:00:15.013,0,15,3,0.0,2,Ball Recovery,213,Sevilla,1,Regular Play,213,Sevilla,,,,"[63.1, 9.4]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.013,1.4779999999999998,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.019464933540970453
fdbb22da-20cf-405a-ac68-bdfc207bd9db,28,1,00:00:15.013,0,15,3,1.836864,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['29fd34db-26ae-470f-b860-403c25597f77', '8b67b202-43f8-4847-8e5e-d5d0ca045144', 'd7253502-0347-4c9c-b5f4-9c99aad6d490']","[63.1, 9.4]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,,,,,,,,,,,,"[65.3, 15.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.013,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12428771751470058
29fd34db-26ae-470f-b860-403c25597f77,29,1,00:00:15.160,0,15,3,0.703169,17,Pressure,213,Sevilla,1,Regular Play,322,Eibar,,,['fdbb22da-20cf-405a-ac68-bdfc207bd9db'],"[56.1, 73.2]",6712.0,Gonzalo Escalante,12.0,Right Midfield,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.16,0.14700000000000024,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.5472785790609997
fa430467-be7a-49cd-92ef-2d87204c3624,30,1,00:00:16.452,0,16,3,0.365,17,Pressure,213,Sevilla,1,Regular Play,322,Eibar,,,,"[56.6, 65.8]",6566.0,Borja González Tomás,22.0,Right Center Forward,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.452,1.2920000000000016,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.31218763052348897
d7253502-0347-4c9c-b5f4-9c99aad6d490,31,1,00:00:16.850,0,16,3,0.507099,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['2e3ad7c6-af26-4f79-9e99-44331cbb86f1'],"[65.3, 15.8]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,7154.0,Sebastián Carlos Cristóforo Pepe,9.883825,2.0434935,2.0,Low Pass,"[60.8, 24.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85,0.3979999999999997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6353391438740038
2e3ad7c6-af26-4f79-9e99-44331cbb86f1,32,1,00:00:17.357,0,17,3,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['d7253502-0347-4c9c-b5f4-9c99aad6d490'],"[60.8, 24.6]",7154.0,Sebastián Carlos Cristóforo Pepe,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.357,0.5069999999999979,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.41996331528542863
bb997bc6-a907-4326-93ea-200be8f15038,33,1,00:00:17.357,0,17,3,1.561615,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['19e6bdbd-7fe1-47d6-bcec-ef0d3d30c8aa', '2e3ad7c6-af26-4f79-9e99-44331cbb86f1', 'f158e2ee-f5ae-4f0b-b08d-b7efe727c5c8']","[60.8, 24.6]",7154.0,Sebastián Carlos Cristóforo Pepe,9.0,Right Defensive Midfield,,,,,,,,,,,,"[61.1, 21.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.357,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6370248463821052
