id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,duel_outcome_id,duel_outcome_name,dribble_overrun,miscontrol_aerial_won,pass_aerial_won,injury_stoppage_in_chain,pass_miscommunication,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble_nutmeg,pass_cut_back,clearance_left_foot,pass_inswinging,pass_goal_assist,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,ball_recovery_recovery_failure,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,foul_committed_advantage,foul_won_advantage,ball_recovery_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
5dae8323-2637-4453-82d1-6a41df6e2a0a,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,216,Getafe,1,Regular Play,216,Getafe,442.0,"[{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 27054, 'name': 'Roberto Lago Soto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9440457319290474
5a6c1230-24aa-422b-b614-828107853893,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,216,Getafe,1,Regular Play,217,Barcelona,433.0,"[{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6843669139935473
e29f04e5-c4b9-4ab4-8867-608020aaa2e8,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,216,Getafe,1,Regular Play,216,Getafe,,,['569d01d7-652e-4bbc-a8c2-6c20cd3aa1e8'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.03412875294033113
569d01d7-652e-4bbc-a8c2-6c20cd3aa1e8,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,216,Getafe,1,Regular Play,217,Barcelona,,,['e29f04e5-c4b9-4ab4-8867-608020aaa2e8'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.69611954974473
944806b6-4f8b-461c-9310-7377a2396a5b,5,1,00:00:01.002,0,1,2,0.792296,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,['1800835d-77b6-4023-87b1-0df0c100cbfd'],True,"[61.0, 40.1]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,6720.0,Pablo Sarabia García,5.2201533,1.2793396,1.0,Ground Pass,"[62.5, 45.1]",65.0,Kick Off,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002,1.002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5300177227990954
1800835d-77b6-4023-87b1-0df0c100cbfd,6,1,00:00:01.794,0,1,2,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['944806b6-4f8b-461c-9310-7377a2396a5b'],,"[62.5, 45.1]",6720.0,Pablo Sarabia García,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.794,0.792,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6626533909344314
4599799e-3ce8-4d30-8a27-768cfd862727,7,1,00:00:03.478,0,3,2,1.646551,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,['5c87dfb5-5b81-4aab-9e59-c7818a6cfaa7'],,"[63.1, 48.2]",6720.0,Pablo Sarabia García,22.0,Right Center Forward,6627.0,Damián Nicolás Suárez Suárez,33.778397,1.1853422,1.0,Ground Pass,"[75.8, 79.5]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.478,1.6840000000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.6694253901375206
5c87dfb5-5b81-4aab-9e59-c7818a6cfaa7,8,1,00:00:05.124,0,5,2,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['4599799e-3ce8-4d30-8a27-768cfd862727'],,"[75.8, 79.5]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.124,1.6459999999999995,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6692501113257676
aeef26a9-2be8-4f24-97f0-d766c5c04fd3,9,1,00:00:05.124,0,5,2,1.553223,43,Carry,216,Getafe,9,From Kick Off,216,Getafe,,,"['5c87dfb5-5b81-4aab-9e59-c7818a6cfaa7', '6d86c8a4-8c29-4308-9a09-41d8940f8ee0']",,"[75.8, 79.5]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,"[76.1, 76.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.124,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8533981825045435
6d86c8a4-8c29-4308-9a09-41d8940f8ee0,10,1,00:00:06.678,0,6,2,2.055337,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,"['2b963ded-f2c0-4d98-9be3-d6757cc375c1', '4a1e163a-0c4b-4547-af12-7f9e01d60e23']",,"[76.1, 76.8]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,23416.0,Stefan Šćepović,50.62697,-1.1168658,3.0,High Pass,"[98.3, 31.3]",,,40.0,Right Foot,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.678,1.5540000000000003,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.14254390327891187
2b963ded-f2c0-4d98-9be3-d6757cc375c1,11,1,00:00:08.733,0,8,2,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['6d86c8a4-8c29-4308-9a09-41d8940f8ee0'],,"[99.7, 28.1]",23416.0,Stefan Šćepović,24.0,Left Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.733,2.0550000000000006,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06411022744860873
4a1e163a-0c4b-4547-af12-7f9e01d60e23,12,1,00:00:08.733,0,8,3,0.892248,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['05592356-6dcd-4552-9cf7-471fe8fda306', '6d86c8a4-8c29-4308-9a09-41d8940f8ee0']",,"[21.8, 48.8]",4324.0,Daniel Alves da Silva,2.0,Right Back,5470.0,Ivan Rakitić,7.8873315,-0.88417476,2.0,Low Pass,"[26.8, 42.7]",64.0,Interception,70.0,Other,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.733,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.2462493498330367
05592356-6dcd-4552-9cf7-471fe8fda306,13,1,00:00:09.625,0,9,3,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['4a1e163a-0c4b-4547-af12-7f9e01d60e23'],,"[26.8, 42.7]",5470.0,Ivan Rakitić,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.625,0.8919999999999995,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9069010160834767
df2cfa58-7af8-4637-8dd8-21ba81bd01a5,14,1,00:00:09.625,0,9,3,1.113728,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['05592356-6dcd-4552-9cf7-471fe8fda306', '90559f72-e82c-4a98-9dc3-b70e9b9980ed', '9bca725f-f493-43af-a508-823dfbaf2daf']",,"[26.8, 42.7]",5470.0,Ivan Rakitić,15.0,Left Center Midfield,,,,,,,,,,,,"[30.4, 40.2]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.625,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7078249225239891
90559f72-e82c-4a98-9dc3-b70e9b9980ed,15,1,00:00:10.293,0,10,3,0.652808,17,Pressure,217,Barcelona,1,Regular Play,216,Getafe,,,"['9bca725f-f493-43af-a508-823dfbaf2daf', 'df2cfa58-7af8-4637-8dd8-21ba81bd01a5']",,"[87.3, 37.7]",15893.0,Víctor Rodríguez Romero,16.0,Left Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.293,0.6679999999999993,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.316253883249507
9bca725f-f493-43af-a508-823dfbaf2daf,16,1,00:00:10.739,0,10,3,1.020003,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['323dad53-9da2-4213-88bc-6ee9e8c6b114', '90559f72-e82c-4a98-9dc3-b70e9b9980ed']",,"[30.4, 40.2]",5470.0,Ivan Rakitić,15.0,Left Center Midfield,6379.0,Sergi Roberto Carnicer,16.171888,-0.60515356,3.0,High Pass,"[43.7, 31.0]",,,40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.739,0.4460000000000015,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5977022424687437
323dad53-9da2-4213-88bc-6ee9e8c6b114,17,1,00:00:11.759,0,11,3,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['9bca725f-f493-43af-a508-823dfbaf2daf'],,"[43.7, 31.0]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.759,1.0199999999999996,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3180549753355082
7c62763f-aa72-4149-917b-27d2c6b3a8a1,18,1,00:00:11.799,0,11,3,1.237122,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['5680fcc1-5603-45ca-8b7c-6f130cea4c6f'],,"[43.7, 31.0]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,5203.0,Sergio Busquets i Burgos,10.599056,-2.9034789,2.0,Low Pass,"[33.4, 28.5]",,,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.799,0.03999999999999915,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.28158866755031253
5680fcc1-5603-45ca-8b7c-6f130cea4c6f,19,1,00:00:13.036,0,13,3,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['7c62763f-aa72-4149-917b-27d2c6b3a8a1'],,"[33.4, 28.5]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.036,1.237,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7501804542005848
8652a60b-27f2-48e1-b177-3caca9abe20d,20,1,00:00:13.036,0,13,3,1.453386,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['5680fcc1-5603-45ca-8b7c-6f130cea4c6f', '949cb7c3-bd0e-4307-9742-7ef80011d262', 'adc1f918-9b72-45c3-b3ea-a232badec58e']",,"[33.4, 28.5]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[29.3, 23.9]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.036,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04350258537306673
949cb7c3-bd0e-4307-9742-7ef80011d262,21,1,00:00:13.939,0,13,3,0.758224,17,Pressure,217,Barcelona,1,Regular Play,216,Getafe,,,"['8652a60b-27f2-48e1-b177-3caca9abe20d', 'adc1f918-9b72-45c3-b3ea-a232badec58e']",,"[86.4, 55.4]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.939,0.9030000000000005,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.101391787974219
adc1f918-9b72-45c3-b3ea-a232badec58e,22,1,00:00:14.489,0,14,3,1.922922,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['949cb7c3-bd0e-4307-9742-7ef80011d262', 'bb782a89-67d9-4906-b319-3147fffbacee']",,"[29.3, 23.9]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,4691.0,Claudio Andrés Bravo Muñoz,28.429737,2.630736,1.0,Ground Pass,"[4.5, 37.8]",,,40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.489,0.5500000000000007,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5614358196090348
bb782a89-67d9-4906-b319-3147fffbacee,23,1,00:00:16.412,0,16,3,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['adc1f918-9b72-45c3-b3ea-a232badec58e'],,"[4.5, 37.8]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.412,1.9229999999999983,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.989392608978913
428b1340-b77e-4860-aaff-08e9a56b5ee3,24,1,00:00:16.412,0,16,3,0.901622,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['bb782a89-67d9-4906-b319-3147fffbacee', 'de8af495-c241-412c-a21a-369f23d3602c']",,"[4.5, 37.8]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,"[2.8, 42.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.412,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4954962307266577
de8af495-c241-412c-a21a-369f23d3602c,25,1,00:00:17.314,0,17,3,1.774843,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['78b03b7d-8b07-4fe1-ae22-2599b8e979b1'],,"[2.8, 42.2]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,10609.0,Jérémy Mathieu,28.614857,-1.3631201,1.0,Ground Pass,"[8.7, 14.2]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.314,0.902000000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7114229040739652
78b03b7d-8b07-4fe1-ae22-2599b8e979b1,26,1,00:00:19.089,0,19,3,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['de8af495-c241-412c-a21a-369f23d3602c'],,"[8.7, 14.2]",10609.0,Jérémy Mathieu,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.089,1.7749999999999986,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9893511845641261
5e00cec6-fa2b-4446-840c-fab019762401,27,1,00:00:19.089,0,19,3,1.009264,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['78b03b7d-8b07-4fe1-ae22-2599b8e979b1', 'cde0d19d-9876-428d-a383-5ee95bf1a0a3']",,"[8.7, 14.2]",10609.0,Jérémy Mathieu,5.0,Left Center Back,,,,,,,,,,,,"[8.6, 7.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.089,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6651435906997616
cde0d19d-9876-428d-a383-5ee95bf1a0a3,28,1,00:00:20.098,0,20,3,1.431714,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['08f2ec07-8878-4d28-ba39-077cf4f35fb7'],,"[8.6, 7.5]",10609.0,Jérémy Mathieu,5.0,Left Center Back,6379.0,Sergi Roberto Carnicer,23.864828,0.11759834,1.0,Ground Pass,"[32.3, 10.3]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.098,1.0090000000000003,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7676110398807112
08f2ec07-8878-4d28-ba39-077cf4f35fb7,29,1,00:00:21.530,0,21,3,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['cde0d19d-9876-428d-a383-5ee95bf1a0a3'],,"[32.3, 10.3]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.53,1.4320000000000022,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4692342797590353
7be47b05-a4e3-414e-af29-f611bc169111,30,1,00:00:21.530,0,21,3,4.440282,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['08f2ec07-8878-4d28-ba39-077cf4f35fb7', '3c5539a5-36ea-4373-a440-22b78e9f5df9', 'f1cb5646-0382-47ef-bd10-e8dd85aa74b3']",,"[32.3, 10.3]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,,,,,,,,,,,,"[68.7, 11.4]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.53,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08024599548905764
3c5539a5-36ea-4373-a440-22b78e9f5df9,31,1,00:00:25.472,0,25,3,0.429973,17,Pressure,217,Barcelona,1,Regular Play,216,Getafe,,,['7be47b05-a4e3-414e-af29-f611bc169111'],,"[50.1, 70.6]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.472,3.942,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8960187071332597
a229c010-b11e-422a-94b6-962419b9bc3b,32,1,00:00:25.970,0,25,3,0.0,39,Dribbled Past,217,Barcelona,1,Regular Play,216,Getafe,,,"['f1cb5646-0382-47ef-bd10-e8dd85aa74b3', 'ff8c5e59-957a-4fdc-bb56-efe495bdc27f']",,"[51.4, 68.7]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.97,0.49799999999999756,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6318533044316942
