id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_won_defensive,off_camera,out,pass_switch,ball_recovery_recovery_failure,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_aerial_won,duel_type_id,duel_type_name,dribble_outcome_id,dribble_outcome_name,dribble_overrun,interception_outcome_id,interception_outcome_name,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,shot_one_on_one,shot_aerial_won,clearance_aerial_won,duel_outcome_id,duel_outcome_name,clearance_left_foot,miscontrol_aerial_won,shot_deflected,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_cut_back,pass_no_touch,pass_technique_id,pass_technique_name,pass_inswinging,pass_outswinging,dribble_nutmeg,foul_committed_card_id,foul_committed_card_name,block_offensive,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
96b27930-556d-4e32-8148-bf74d1dda7c4,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,221,Levante UD,1,Regular Play,221,Levante UD,442.0,"[{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.4967027866892869
4d8bfccc-46d2-45bb-8ebe-e35fc94a6723,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,221,Levante UD,1,Regular Play,1041,Sporting Gijón,4231.0,"[{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 16332, 'name': 'Ognjen Vranješ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 23838, 'name': 'Pablo Pérez Rodríguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6064914950406882
01fbad84-291f-4a9f-ae5c-13fe0c23c6b1,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,221,Levante UD,1,Regular Play,1041,Sporting Gijón,,,['ebedcf2d-c960-49ff-9b2a-f5eeedd5451a'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.6189738064520829
ebedcf2d-c960-49ff-9b2a-f5eeedd5451a,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,221,Levante UD,1,Regular Play,221,Levante UD,,,['01fbad84-291f-4a9f-ae5c-13fe0c23c6b1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.9227009422367747
206a29eb-23bf-4f68-ada1-1c945e0fb0fb,5,1,00:00:00.540,0,0,2,1.557799,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['825a9648-4bd8-4d73-b30b-1ad18be97163'],"[61.0, 40.1]",6880.0,Arnaldo Antonio Sanabria Ayala,23.0,Center Forward,13107.0,Sergio Álvarez Díaz,14.228493,3.0782971,1.0,Ground Pass,"[46.8, 41.0]",38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.54,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4830733011051854
4f087a41-52cd-4552-a25d-aaf683496ac6,6,1,00:00:01.867,0,1,2,0.446373,17,Pressure,1041,Sporting Gijón,9,From Kick Off,221,Levante UD,,,"['00dc5e0b-bf3a-4112-bc9e-a65aa1f8e9da', '1af85659-5ebd-4059-9614-342071b1ce4a', '825a9648-4bd8-4d73-b30b-1ad18be97163']","[71.1, 39.9]",25134.0,Deyverson Brum Silva Acosta,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.867,1.327,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2653517118000964
825a9648-4bd8-4d73-b30b-1ad18be97163,7,1,00:00:02.098,0,2,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['206a29eb-23bf-4f68-ada1-1c945e0fb0fb', '4f087a41-52cd-4552-a25d-aaf683496ac6']","[46.8, 41.0]",13107.0,Sergio Álvarez Díaz,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.098,0.23099999999999987,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8754351406273788
1af85659-5ebd-4059-9614-342071b1ce4a,8,1,00:00:02.098,0,2,2,0.061436,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['00dc5e0b-bf3a-4112-bc9e-a65aa1f8e9da', '4f087a41-52cd-4552-a25d-aaf683496ac6', '825a9648-4bd8-4d73-b30b-1ad18be97163']","[46.8, 41.0]",13107.0,Sergio Álvarez Díaz,11.0,Left Defensive Midfield,,,,,,,,,,,,True,"[48.8, 40.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.098,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.023883689419580856
00dc5e0b-bf3a-4112-bc9e-a65aa1f8e9da,9,1,00:00:02.159,0,2,2,4.337362,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['4f087a41-52cd-4552-a25d-aaf683496ac6'],"[48.8, 40.2]",13107.0,Sergio Álvarez Díaz,11.0,Left Defensive Midfield,,,58.739082,0.7444572,3.0,High Pass,"[92.0, 80.0]",40.0,Right Foot,,,True,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.159,0.06099999999999994,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.32267143733397885
4f01fbd0-ea18-46d1-9894-9bab0781b20d,10,1,00:00:19.357,0,19,3,1.944915,30,Pass,221,Levante UD,4,From Throw In,221,Levante UD,,,['f1f3ca67-21c2-4d6d-a13c-a99882c1d907'],"[30.6, 0.1]",26023.0,Juan Francisco García García,6.0,Left Back,,,30.080725,0.1367255,3.0,High Pass,"[60.4, 4.2]",,,67.0,Throw-in,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.357,17.198,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7968327078650382
f1f3ca67-21c2-4d6d-a13c-a99882c1d907,11,1,00:00:21.302,0,21,4,1.333876,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['28a97619-3489-45c1-a288-0bc39fbcb243', '4f01fbd0-ea18-46d1-9894-9bab0781b20d']","[59.7, 75.9]",18925.0,Ignacio Cases Mora,9.0,Right Defensive Midfield,23848.0,Carlos Carmona Bonet,8.421401,0.071307465,2.0,Low Pass,"[68.1, 76.5]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.302,1.9450000000000003,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.30525781630281057
91d7dcf2-b167-4a35-b6ac-6deede0c8108,12,1,00:00:22.321,0,22,4,0.49977,17,Pressure,1041,Sporting Gijón,1,Regular Play,221,Levante UD,,,"['28a97619-3489-45c1-a288-0bc39fbcb243', '96090f50-3f9b-429f-b5ed-9caf0f64023e']","[52.5, 6.6]",6659.0,Víctor Camarasa Ferrando,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.321,1.019000000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6473887592181774
28a97619-3489-45c1-a288-0bc39fbcb243,13,1,00:00:22.636,0,22,4,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['91d7dcf2-b167-4a35-b6ac-6deede0c8108', 'f1f3ca67-21c2-4d6d-a13c-a99882c1d907']","[68.1, 76.5]",23848.0,Carlos Carmona Bonet,17.0,Right Wing,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.636,0.3149999999999977,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6763693613434844
96090f50-3f9b-429f-b5ed-9caf0f64023e,14,1,00:00:22.636,0,22,4,0.332923,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['28a97619-3489-45c1-a288-0bc39fbcb243', '2efcc8ba-231f-4185-860d-653439087d03', '91d7dcf2-b167-4a35-b6ac-6deede0c8108']","[68.1, 76.5]",23848.0,Carlos Carmona Bonet,17.0,Right Wing,,,,,,,,,,,,True,"[68.9, 75.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.636,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.008840848738557283
2efcc8ba-231f-4185-860d-653439087d03,15,1,00:00:22.969,0,22,4,1.026986,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['aaed584a-75f7-4e53-b451-9d966d0d06cf'],"[68.9, 75.5]",23848.0,Carlos Carmona Bonet,17.0,Right Wing,6880.0,Arnaldo Antonio Sanabria Ayala,8.521151,-0.62707067,2.0,Low Pass,"[75.8, 70.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.969,0.33300000000000196,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.14435063684048377
aaed584a-75f7-4e53-b451-9d966d0d06cf,16,1,00:00:23.996,0,23,4,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['2efcc8ba-231f-4185-860d-653439087d03'],"[75.8, 70.5]",6880.0,Arnaldo Antonio Sanabria Ayala,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.996,1.0269999999999975,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21551697883650167
2bbd6930-aec6-4275-9e34-bd8e3b83afc0,17,1,00:00:23.996,0,23,4,0.030736,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['aaed584a-75f7-4e53-b451-9d966d0d06cf', 'b7282c7f-08a2-4a17-bb95-1ccd32df9dac']","[75.8, 70.5]",6880.0,Arnaldo Antonio Sanabria Ayala,23.0,Center Forward,,,,,,,,,,,,,"[74.1, 69.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.996,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9997583501829861
b7282c7f-08a2-4a17-bb95-1ccd32df9dac,18,1,00:00:24.027,0,24,4,0.679519,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['68641b5b-0bbc-4099-a141-02d999359a61'],"[74.1, 69.5]",6880.0,Arnaldo Antonio Sanabria Ayala,23.0,Center Forward,23838.0,Pablo Pérez Rodríguez,3.945884,2.9889433,1.0,Ground Pass,"[70.2, 70.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.027,0.03100000000000236,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7289609326891757
68641b5b-0bbc-4099-a141-02d999359a61,19,1,00:00:24.706,0,24,4,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['b7282c7f-08a2-4a17-bb95-1ccd32df9dac'],"[70.2, 70.1]",23838.0,Pablo Pérez Rodríguez,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.706,0.6789999999999985,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8375172584308588
6e2e664e-3fd9-4404-acf4-128871b60294,20,1,00:00:24.706,0,24,4,0.308115,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['566cfed5-2648-415e-aa4b-160ba9652f9b', '68641b5b-0bbc-4099-a141-02d999359a61', 'e8f6cce5-c44d-4352-b54b-d6c4f14bbbb2']","[70.2, 70.1]",23838.0,Pablo Pérez Rodríguez,19.0,Center Attacking Midfield,,,,,,,,,,,,True,"[69.1, 71.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.706,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8952606852825502
e8f6cce5-c44d-4352-b54b-d6c4f14bbbb2,21,1,00:00:24.731,0,24,4,0.58254,17,Pressure,1041,Sporting Gijón,1,Regular Play,221,Levante UD,,,"['566cfed5-2648-415e-aa4b-160ba9652f9b', '6e2e664e-3fd9-4404-acf4-128871b60294']","[49.9, 8.9]",6659.0,Víctor Camarasa Ferrando,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.731,0.02500000000000213,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.338782804474989
566cfed5-2648-415e-aa4b-160ba9652f9b,22,1,00:00:25.015,0,25,4,0.814612,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['7d1b2a35-401f-492e-a974-7b3f21fd7fb3', 'e8f6cce5-c44d-4352-b54b-d6c4f14bbbb2']","[69.1, 71.0]",23838.0,Pablo Pérez Rodríguez,19.0,Center Attacking Midfield,23848.0,Carlos Carmona Bonet,7.28011,1.2055949,1.0,Ground Pass,"[71.7, 77.8]",40.0,Right Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.015,0.2839999999999989,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5075213720024937
7d1b2a35-401f-492e-a974-7b3f21fd7fb3,23,1,00:00:25.829,0,25,4,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['566cfed5-2648-415e-aa4b-160ba9652f9b'],"[71.7, 77.8]",23848.0,Carlos Carmona Bonet,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.829,0.8140000000000001,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5383351492531225
46c42095-1942-48bf-ac9f-5783da9b56c2,24,1,00:00:25.829,0,25,4,0.240334,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['7d1b2a35-401f-492e-a974-7b3f21fd7fb3', 'c75db063-5497-4d2d-9351-1457046ca0d6']","[71.7, 77.8]",23848.0,Carlos Carmona Bonet,17.0,Right Wing,,,,,,,,,,,,,"[71.7, 77.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.829,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22738880740812262
c75db063-5497-4d2d-9351-1457046ca0d6,25,1,00:00:26.069,0,26,4,1.137848,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['c61b8ffd-4f0e-45b7-bb39-925631eeb445'],"[71.7, 77.8]",23848.0,Carlos Carmona Bonet,17.0,Right Wing,,,13.981773,-0.699317,1.0,Ground Pass,"[82.4, 68.8]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.069,0.23999999999999844,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6640965548907889
c61b8ffd-4f0e-45b7-bb39-925631eeb445,26,1,00:00:27.207,0,27,4,4.410321,30,Pass,1041,Sporting Gijón,1,Regular Play,221,Levante UD,,,"['3c9b7353-a025-4bb3-a2ed-51c0818b043e', 'c75db063-5497-4d2d-9351-1457046ca0d6']","[37.7, 11.3]",6647.0,Zouhair Feddal,5.0,Left Center Back,,,50.1004,-0.0039919945,3.0,High Pass,"[87.8, 11.1]",38.0,Left Foot,66.0,Recovery,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.207,1.1380000000000017,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4651256312753471
3c9b7353-a025-4bb3-a2ed-51c0818b043e,27,1,00:00:31.618,0,31,4,1.805191,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['4e6879b0-9e33-4d38-a990-7ee4897a41cd', 'c61b8ffd-4f0e-45b7-bb39-925631eeb445']","[32.3, 69.0]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,6610.0,Iván Cuéllar Sacristán,28.656588,-2.2771516,3.0,High Pass,"[13.7, 47.2]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.618,4.410999999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7611258868868896
4e6879b0-9e33-4d38-a990-7ee4897a41cd,28,1,00:00:33.423,0,33,4,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['3c9b7353-a025-4bb3-a2ed-51c0818b043e'],"[13.7, 47.2]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.423,1.8050000000000033,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8761338109915656
4ca20cb3-05d1-4d8d-b836-51811cd49c99,29,1,00:00:33.423,0,33,4,9.218177,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['4e6879b0-9e33-4d38-a990-7ee4897a41cd', 'af46a83e-fb79-4578-90e8-e43d118ec349']","[13.7, 47.2]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,,,,,,,,,,,,,"[13.5, 47.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.423,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02201517011055809
af46a83e-fb79-4578-90e8-e43d118ec349,30,1,00:00:42.641,0,42,4,3.622884,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['a7452439-9b1c-4d3f-98d8-087b1fb11174'],"[13.5, 47.4]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,6880.0,Arnaldo Antonio Sanabria Ayala,73.618065,-0.31917325,3.0,High Pass,"[83.4, 24.3]",68.0,Drop Kick,,,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.641,9.217999999999996,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.33781933574694933
a7452439-9b1c-4d3f-98d8-087b1fb11174,31,1,00:00:46.264,0,46,4,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['af46a83e-fb79-4578-90e8-e43d118ec349'],"[81.7, 25.1]",6880.0,Arnaldo Antonio Sanabria Ayala,23.0,Center Forward,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.264,3.6230000000000047,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2370939692261862
